36: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10016, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 75 })
38: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10035, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 70 })
39: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10030, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 74 })
40: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10039, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 74 })
43: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10004, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 72 })
45: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10044, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 70 })
46: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10005, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 76 })
47: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10036, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 70 })
49: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10003, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 76 })
50: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10015, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 73 })
53: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10007, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 72 })
55: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10031, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 75 })
62: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10010, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 74 })
64: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10023, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 73 })
66: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10025, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 74 })
68: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10038, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 74 })
69: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10013, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 73 })
