32: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10160, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 74 })
34: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10005, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 78 })
35: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10018, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 81 })
37: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10054, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 80 })
39: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10364, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 77 })
41: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10321, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 79 })
44: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10055, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 79 })
47: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10153, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 79 })
48: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10340, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 77 })
51: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10096, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 78 })
53: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10187, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 81 })
54: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10049, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 75 })
56: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10137, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 78 })
57: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10124, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 74 })
59: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10196, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 72 })
61: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10004, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 75 })
62: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10327, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 79 })
66: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10438, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 79 })
71: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10322, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 77 })
75: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10398, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 80 })
77: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10059, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 76 })
78: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10130, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 76 })
82: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10003, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 78 })
